ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac
101,4.293,0.0000,0.0000,0.0000,0.0000,0.0769,0.2000,0,amorphous,0,22.237,22.0
102,4.770,0.0106,0.0000,0.0303,0.0000,0.1692,0.4083,0,amorphous,0,8.697,22.0
103,6.415,0.0172,0.0492,0.0000,0.0000,0.2167,0.4355,0,amorphous,0,-7.006,22.0
104,5.790,0.0000,0.0000,0.0000,0.0000,0.2500,0.5000,0,amorphous,0,29.239,22.0
105,3.463,0.0269,0.0000,0.0769,0.0000,0.2500,0.6400,0,amorphous,0,35.257,22.0
106,8.095,0.0140,0.0400,0.0000,0.0000,0.1277,0.4009,0,intermediate,0,18.514,22.0
107,4.150,0.0150,0.0000,0.0000,0.0500,0.0769,0.1500,0,amorphous,0,-9.182,22.0
108,4.664,0.0115,0.0000,0.0328,0.0000,0.1000,0.3218,0,amorphous,0,0.025,22.0
109,7.258,0.0194,0.0000,0.0556,0.0000,0.1875,0.5150,0,amorphous,0,32.061,22.0
110,6.493,0.0000,0.0000,0.0000,0.0000,0.1000,0.3543,0,amorphous,0,-23.035,22.0
111,3.059,0.0000,0.0000,0.0000,0.0000,0.1136,0.4733,0,amorphous,0,5.308,22.0
112,4.856,0.0141,0.0000,0.0000,0.0469,0.1429,0.3708,0,amorphous,0,-2.308,22.0
113,6.621,0.0000,0.0000,0.0000,0.0000,0.2927,0.6015,0,amorphous,0,26.178,22.0
114,3.149,0.0000,0.0000,0.0000,0.0000,0.0556,0.1333,0,amorphous,0,-18.000,22.0
115,4.231,0.0113,0.0000,0.0323,0.0000,0.1803,0.3333,0,amorphous,0,7.950,22.0
116,8.224,0.0153,0.0000,0.0000,0.0508,0.1552,0.3832,0,intermediate,0,-2.780,22.0
117,7.192,0.0292,0.0000,0.0833,0.0000,0.0000,0.0000,0,amorphous,0,38.181,22.0
118,7.642,0.0159,0.0455,0.0000,0.0000,0.1719,0.3844,0,amorphous,0,13.427,22.0
119,3.099,0.0250,0.0000,0.0312,0.0469,0.1935,0.4929,0,amorphous,0,15.536,22.0
120,7.648,0.0389,0.0000,0.1111,0.0000,0.2500,0.5000,0,amorphous,0,44.150,22.0
121,6.570,0.0269,0.0000,0.0769,0.0000,0.0833,0.2500,0,amorphous,0,33.489,22.0
122,5.693,0.0167,0.0000,0.0476,0.0000,0.1053,0.2857,0,amorphous,0,-23.019,22.0
123,6.159,0.0318,0.0909,0.0000,0.0000,0.0476,0.1250,0,amorphous,0,33.563,22.0
124,5.565,0.0219,0.0000,0.0625,0.0000,0.0000,0.0000,0,amorphous,0,32.475,22.0
125,5.835,0.0250,0.0000,0.0714,0.0000,0.0000,0.0000,0,amorphous,0,34.934,22.0
126,10.376,0.0000,0.0000,0.0000,0.0000,0.1429,0.3333,0,intermediate,0,46.287,22.0
127,4.189,0.0292,0.0000,0.0833,0.0000,0.0909,0.2500,0,amorphous,0,-29.064,22.0
128,5.037,0.0000,0.0000,0.0000,0.0000,0.0800,0.3067,0,amorphous,0,-24.972,22.0
129,4.999,0.0000,0.0000,0.0000,0.0000,0.1818,0.5000,0,amorphous,0,28.187,22.0
130,6.039,0.0350,0.0000,0.1000,0.0000,0.1111,0.3333,0,amorphous,0,-27.490,22.0
131,11.329,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,intermediate,0,49.698,22.0
132,2.895,0.0000,0.0000,0.0000,0.0000,0.0435,0.1000,0,amorphous,0,-23.998,22.0
133,10.240,0.0350,0.0000,0.1000,0.0000,0.1111,0.2500,0,amorphous,0,0.328,24.0
134,10.499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,0.403,24.0
135,10.193,0.0437,0.0000,0.1250,0.0000,0.2857,0.5000,0,amorphous,0,-4.854,24.0
136,16.307,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0,intermediate,0,-21.790,24.0
137,6.631,0.0292,0.0000,0.0833,0.0000,0.1818,0.4000,0,amorphous,0,-23.060,24.0
138,12.037,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,amorphous,0,9.211,24.0
139,14.934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,-1.568,24.0
140,13.921,0.0389,0.0000,0.1111,0.0000,0.1429,0.2500,0,amorphous,0,-20.122,24.0
141,7.407,0.0233,0.0000,0.0667,0.0000,0.3077,0.4444,0,amorphous,0,-30.846,24.0
142,8.151,0.0778,0.1111,0.1111,0.0000,0.0000,0.0000,0,intermediate,0,-15.629,24.0
143,5.436,0.0269,0.0000,0.0769,0.0000,0.1818,0.3333,0,amorphous,0,15.742,24.0
144,8.539,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,amorphous,0,33.613,24.0
145,11.571,0.0318,0.0000,0.0909,0.0000,0.0000,0.0000,0,amorphous,0,44.323,24.0
146,7.936,0.0000,0.0000,0.0000,0.0000,0.1250,0.4286,0,amorphous,0,-0.799,24.0
147,10.875,0.0269,0.0000,0.0769,0.0000,0.0000,0.0000,0,amorphous,0,39.677,24.0
148,7.852,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,intermediate,0,-13.418,24.0
149,10.946,0.0389,0.0000,0.1111,0.0000,0.1250,0.3333,0,amorphous,0,-28.967,24.0
150,7.996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,30.086,24.0
151,7.690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,30.066,24.0
152,12.580,0.0389,0.1111,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,23.457,24.0
153,14.750,0.0000,0.0000,0.0000,0.0000,0.1667,0.2500,0,intermediate,0,-27.533,24.0
154,12.809,0.0875,0.1250,0.1250,0.0000,0.1429,0.2000,0,intermediate,0,-7.519,24.0
155,12.571,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0,amorphous,0,24.789,24.0
156,12.857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,16.037,24.0
157,13.306,0.0437,0.0000,0.1250,0.0000,0.1429,0.3333,0,amorphous,0,-5.979,24.0
158,12.241,0.0000,0.0000,0.0000,0.0000,0.1667,0.5000,0,amorphous,0,-34.370,24.0
159,12.639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-11.080,24.0
160,7.964,0.0219,0.0000,0.0625,0.0000,0.1333,0.2500,0,amorphous,0,-29.486,24.0
161,13.677,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,33.679,24.0
162,8.443,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,29.228,24.0
163,18.285,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,0,intermediate,0,-22.225,24.0
164,4.922,0.0206,0.0000,0.0588,0.0000,0.2000,0.7400,1,amorphous,0,4.013,24.0
165,15.201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,22.735,24.0
166,9.800,0.0318,0.0000,0.0909,0.0000,0.2000,0.5000,0,amorphous,0,-29.693,24.0
167,9.594,0.0350,0.0000,0.1000,0.0000,0.1111,0.3333,0,amorphous,0,-28.664,24.0
168,17.838,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,intermediate,0,-25.354,24.0
169,14.024,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,1,intermediate,0,15.940,24.0
170,10.450,0.0250,0.0000,0.0714,0.0000,0.0000,0.0000,0,amorphous,0,41.781,24.0
171,15.914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,12.884,24.0
172,15.056,0.0000,0.0000,0.0000,0.0000,0.2500,0.5000,0,intermediate,0,37.512,24.0
173,9.836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,30.936,24.0
174,12.984,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,1,amorphous,0,-24.323,24.0
175,14.420,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0,intermediate,0,-11.401,24.0
176,6.513,0.0389,0.0000,0.1111,0.0000,0.2857,0.6667,0,amorphous,0,-32.378,24.0
177,14.415,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0,intermediate,0,21.555,24.0
178,13.464,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,3.004,24.0
179,13.249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-18.160,24.0
180,12.785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,10.702,24.0
181,10.829,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,-16.815,24.0
182,11.915,0.0318,0.0000,0.0909,0.0000,0.1000,0.2000,0,amorphous,0,10.465,24.0
183,18.007,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0,intermediate,0,21.472,24.0
184,10.398,0.0250,0.0000,0.0714,0.0000,0.0000,0.0000,0,amorphous,0,32.683,24.0
185,4.819,0.0000,0.0000,0.0000,0.0000,0.0800,0.3622,0,amorphous,0,-25.584,24.0
186,15.143,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,intermediate,0,21.259,24.0
187,15.339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,-11.294,24.0
188,15.023,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,0,intermediate,0,31.935,24.0
189,12.440,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,23.045,24.0
190,15.505,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0,intermediate,0,-11.074,24.0
191,12.061,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,49.240,24.0
192,9.783,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,-26.763,24.0
193,14.588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,-22.917,24.0
194,16.317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,0.181,24.0
195,11.900,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,0,amorphous,0,36.999,24.0
196,14.233,0.0000,0.0000,0.0000,0.0000,0.4000,0.6667,0,intermediate,0,28.827,24.0
197,7.388,0.0292,0.0000,0.0833,0.0000,0.0909,0.3333,0,amorphous,0,-8.372,24.0
198,11.253,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,-0.255,24.0
199,10.901,0.0318,0.0000,0.0909,0.0000,0.0000,0.0000,0,amorphous,0,25.166,24.0
200,14.326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,21.204,24.0
